time,open,high,low,close,Volume,Long Entry,Long Exit,KD,J,RSI,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment,URANIUM,USDKRW,US10Y,US02Y,ALUMINUM,LITHUSD,REMX,XAUUSD,BTCUSD,IXIC,FXCM COPPER (FX:COPPER)
2020-03-19,5393.6,6399,5250.5,6164.2,409264340.0233541,0,1,36.58714864852636,56.03208210565238,8.877834292711285,0.68,9.82,-6.517479646576958,-0.9,0.3,89.1,,1256.95,1.142,0.461,,,27.36,1472.795,6181.18,7150.58,2.1512
2020-03-20,6163.1,6937.2,5629.9,6202,423644559.7495128,0,1,41.84584990311008,64.71506976813238,9.722202999904326,0.55,10.09,-6.527482481690707,-0.9,0.3,89.1,,1253.95,0.853,0.321,,,26.01,1499.094,6210.14,6879.52,2.1385
2020-03-21,6202.8,6459.5,5860,6187.9,449324036.4687498,0,1,50.08735038603375,82.12571152585407,9.49957217787285,0.55,10.09,-6.527482481690707,-0.9,0.3,89.1,,1253.95,0.853,0.321,,,26.01,1499.094,6187.78,6879.52,2.1385
2020-03-22,6188.2,6408.6,5740,5816.5,377926444.6569997,0,0,51.96931974765484,72.69342372161775,3.6641827555000503,0.55,10.09,-6.527482481690707,-0.9,0.3,89.1,,1253.95,0.853,0.321,,,26.01,1499.094,5813.15,6879.52,2.1385
2020-03-23,5815.5,6629.3,5690,6465.8,529312212.5520001,0,0,58.92997805165477,86.69367579863608,19.0033912096317,0.48,10.87,-6.6151256546981765,-3.64,0.3,89.1,,1272,0.793,0.322,,,24.39,1553.122,6493.51,6860.67,2.0851
2020-03-24,6465.1,6834.6,6375.8,6742.3,501820736.9342486,0,1,66.94814712539784,100.87541868324617,24.8578624061892,0.46,10.55,-6.635729816170572,-3.64,0.3,89.1,,1233.12,0.851,0.376,,,27,1627.713,6768.64,7417.86,2.2022
2020-03-25,6741.5,6955,6457,6675.3,458645312.1352503,0,0,71.99800932385068,101.58630059890697,23.56997227703009,0.54,10.11,-6.608145119633507,-3.64,0.3,89.1,,1232.5,0.872,0.334,,,28.41,1617.35,6692.22,7384.3,2.2085
2020-03-26,6676.5,6776,6501,6730.1,350470807.4000003,0,0,76.32178343196611,101.92536433978282,24.82773050093253,0.53,9.29,-6.630850550776475,-3.64,0.3,89.1,,1212.57,0.856,0.304,,,28.86,1630.183,6760.72,7797.54,2.1816
2020-03-27,6731.3,6843,6248,6360,301568052.81224966,0,0,74.3953339037175,82.38100053700433,17.322208355010034,0.47,8.99,-6.617614692692149,-3.64,0.3,89.1,,1211.73,0.684,0.25,,,27.3,1627.724,6376.03,7502.38,2.1675
2020-03-28,6359.8,6359.8,6025,6236.6,280020352.6637501,0,0,68.21499090734169,56.756966733045545,14.909079868009854,0.47,8.99,-6.617614692692149,-3.64,0.3,89.1,,1211.73,0.684,0.25,,,27.3,1627.724,6253.08,7502.38,2.1675
